"chr","GeneID","TranscriptID","Feature","Contig","Start","Stop","Strand","Name","Product","Alias.Synonyms","EC_number","BUSCO","PFAM","InterPro","EggNog","COG","GO.Terms","Secreted","Membrane","Protease","CAZyme","Notes","begin","end","scaffold","i.begin","i.end","source","scaffold_name"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,93500,98500,"list_cnv_cheese_diff","CCBN010000007.1"
"7","gene-BN980_GECA07s04410g","gene-BN980_GECA07s04410g-T1","mRNA","CCBN010000007.1",947204,948217,"+","","hypothetical protein, no similarity",NA,"","","","","ENOG503P9G8","","",NA,NA,"","","",947204,948217,7,948000,948500,"list_cnv_cheese_diff","CCBN010000007.1"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,874500,875500,"list_cnv_cheese_diff","CCBN010000008.1"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,443500,444500,"list_cnv_geoc_other","CCBN010000009.1"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,443500,444500,"list_cnv_geob_cheese","CCBN010000009.1"
"9","gene-BN980_GECA09s00703g","gene-BN980_GECA09s00703g-T1","mRNA","CCBN010000009.1",156207,158279,"+","ALG9_2","mannosyltransferase",NA,"2.4.1.2","EOG093410GO","PF03901","IPR005599 GPI mannosyltransferase;IPR039484 Alpha-1,2-mannosyltransferase ALG9-like","ENOG503NV47","G:(G) Carbohydrate transport and metabolism","GO_function: GO:0000030 - mannosyltransferase activity [Evidence IEA];GO_function: GO:0016757 - glycosyltransferase activity [Evidence IEA]",NA,NA,"","GT22","",156207,158279,9,157500,158500,"list_cnv_cheese_diff","CCBN010000009.1"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,136500,137500,"list_cnv_geoc_other","CCBN010000010.1"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,567500,568000,"list_cnv_geoc_other","CCBN010000010.1"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,703500,705000,"list_cnv_geoc_other","CCBN010000010.1"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,137000,137500,"list_cnv_geob_cheese","CCBN010000010.1"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,703500,705000,"list_cnv_geob_cheese","CCBN010000010.1"
"10","gene-BN980_GECA10s00604g","gene-BN980_GECA10s00604g-T1","mRNA","CCBN010000010.1",137615,139012,"-","","hypothetical protein, no similarity",NA,"","","PF08284;PF09668;PF13650;PF13975","IPR021109 Aspartic peptidase domain superfamily","ENOG503NVKU","L:(L) Replication, recombination and repair","",NA,NA,"A28A","","",137615,139012,10,137500,139500,"list_cnv_cheese_diff","CCBN010000010.1"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,567000,568000,"list_cnv_cheese_diff","CCBN010000010.1"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,623000,623500,"list_cnv_cheese_diff","CCBN010000010.1"
"11","gene-BN980_GECA11s03018g","gene-BN980_GECA11s03018g-T1","mRNA","CCBN010000011.1",707121,708371,"+","","hypothetical protein",NA,"","","PF13359","IPR027806 Harbinger transposase-derived nuclease domain","ENOG502RZYI","S:(S) Function unknown","",NA,NA,"","","",707121,708371,11,707000,709500,"list_cnv_geoc_other","CCBN010000011.1"
"11","gene-BN980_GECA11s04036g","gene-BN980_GECA11s04036g-T1","mRNA","CCBN010000011.1",896520,897311,"-","","hypothetical protein, no similarity",NA,"","","","IPR001878 Zinc finger, CCHC-type;IPR036875 Zinc finger, CCHC-type superfamily","","","GO_function: GO:0003676 - nucleic acid binding [Evidence IEA];GO_function: GO:0008270 - zinc ion binding [Evidence IEA]",NA,NA,"","","",896520,897311,11,896500,898500,"list_cnv_geoc_other","CCBN010000011.1"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,900500,901500,"list_cnv_geoc_other","CCBN010000011.1"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,903500,907500,"list_cnv_geoc_other","CCBN010000011.1"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,37500,38000,"list_cnv_geob_cheese","CCBN010000011.1"
"11","gene-BN980_GECA11s04036g","gene-BN980_GECA11s04036g-T1","mRNA","CCBN010000011.1",896520,897311,"-","","hypothetical protein, no similarity",NA,"","","","IPR001878 Zinc finger, CCHC-type;IPR036875 Zinc finger, CCHC-type superfamily","","","GO_function: GO:0003676 - nucleic acid binding [Evidence IEA];GO_function: GO:0008270 - zinc ion binding [Evidence IEA]",NA,NA,"","","",896520,897311,11,896500,898000,"list_cnv_geob_cheese","CCBN010000011.1"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,898500,899000,"list_cnv_geob_cheese","CCBN010000011.1"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,900500,908000,"list_cnv_geob_cheese","CCBN010000011.1"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,37500,38000,"list_cnv_cheese_diff","CCBN010000011.1"
"11","gene-BN980_GECA11s04036g","gene-BN980_GECA11s04036g-T1","mRNA","CCBN010000011.1",896520,897311,"-","","hypothetical protein, no similarity",NA,"","","","IPR001878 Zinc finger, CCHC-type;IPR036875 Zinc finger, CCHC-type superfamily","","","GO_function: GO:0003676 - nucleic acid binding [Evidence IEA];GO_function: GO:0008270 - zinc ion binding [Evidence IEA]",NA,NA,"","","",896520,897311,11,896500,897500,"list_cnv_cheese_diff","CCBN010000011.1"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,898500,899500,"list_cnv_cheese_diff","CCBN010000011.1"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,900000,900500,"list_cnv_cheese_diff","CCBN010000011.1"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,901500,903500,"list_cnv_cheese_diff","CCBN010000011.1"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,587500,589500,"list_cnv_geoc_other","CCBN010000012.1"
"13","gene-BN980_GECA13s02908r","gene-BN980_GECA13s02908r-T1","tRNA","CCBN010000013.1",696279,696368,"-","","tRNA-Ile",NA,"","","","","","","",NA,NA,"","","",696279,696368,13,696000,697500,"list_cnv_geoc_other","CCBN010000013.1"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,696500,697500,"list_cnv_cheese_diff","CCBN010000013.1"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,801000,802000,"list_cnv_cheese_diff","CCBN010000013.1"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,210000,211500,"list_cnv_geoc_other","CCBN010000014.1"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,280000,280500,"list_cnv_geoc_other","CCBN010000014.1"
"14","gene-BN980_GECA14s01473g","gene-BN980_GECA14s01473g-T1","mRNA","CCBN010000014.1",342027,343595,"+","","hypothetical protein, no similarity",NA,"","","","","","","",NA,NA,"","","",342027,343595,14,343500,344000,"list_cnv_geoc_other","CCBN010000014.1"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,344500,346000,"list_cnv_geoc_other","CCBN010000014.1"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,565500,566500,"list_cnv_geob_cheese","CCBN010000014.1"
"14","gene-BN980_GECA14s03200g","gene-BN980_GECA14s03200g-T1","mRNA","CCBN010000014.1",763547,764518,"-","","hypothetical protein",NA,"2.7.8.41","","PF01066","IPR000462 CDP-alcohol phosphatidyltransferase;IPR043130 CDP-alcohol phosphotransferase, transmembrane domain","ENOG503NZR2","I:(I) Lipid transport and metabolism","GO_component: GO:0016020 - membrane [Evidence IEA];GO_function: GO:0016780 - phosphotransferase activity, for other substituted phosphate groups [Evidence IEA];GO_process: GO:0008654 - phospholipid biosynthetic process [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YDL142C CRD1 Cardiolipin synthase",763547,764518,14,764500,766000,"list_cnv_geob_cheese","CCBN010000014.1"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,280000,281000,"list_cnv_cheese_diff","CCBN010000014.1"
"14","gene-BN980_GECA14s02479r","gene-BN980_GECA14s02479r-T1","tRNA","CCBN010000014.1",564918,565005,"-","","tRNA-Pro",NA,"","","","","","","",NA,NA,"","","",564918,565005,14,565000,565500,"list_cnv_cheese_diff","CCBN010000014.1"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,566000,566500,"list_cnv_cheese_diff","CCBN010000014.1"
"14","gene-BN980_GECA14s03200g","gene-BN980_GECA14s03200g-T1","mRNA","CCBN010000014.1",763547,764518,"-","","hypothetical protein",NA,"2.7.8.41","","PF01066","IPR000462 CDP-alcohol phosphatidyltransferase;IPR043130 CDP-alcohol phosphotransferase, transmembrane domain","ENOG503NZR2","I:(I) Lipid transport and metabolism","GO_component: GO:0016020 - membrane [Evidence IEA];GO_function: GO:0016780 - phosphotransferase activity, for other substituted phosphate groups [Evidence IEA];GO_process: GO:0008654 - phospholipid biosynthetic process [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YDL142C CRD1 Cardiolipin synthase",763547,764518,14,764500,766000,"list_cnv_cheese_diff","CCBN010000014.1"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,617000,618000,"list_cnv_geoc_other","CCBN010000015.1"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,617000,618000,"list_cnv_geob_cheese","CCBN010000015.1"
"15","gene-BN980_GECA15s03453g","gene-BN980_GECA15s03453g-T1","mRNA","CCBN010000015.1",700205,702213,"-","","Conserved hypothetical protein. Putative transcription factor",NA,"","","PF00172","IPR001138 Zn(2)-C6 fungal-type DNA-binding domain;IPR036864 Zn(2)-C6 fungal-type DNA-binding domain superfamily","ENOG503NXYR","S:(S) Function unknown","GO_function: GO:0000981 - DNA-binding transcription factor activity, RNA polymerase II-specific [Evidence IEA];GO_function: GO:0008270 - zinc ion binding [Evidence IEA];GO_process: GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]",NA,NA,"","","",700205,702213,15,692000,710500,"list_cnv_cheese_diff","CCBN010000015.1"
"15","gene-BN980_GECA15s03486g","gene-BN980_GECA15s03486g-T1","mRNA","CCBN010000015.1",706630,707571,"+","PRN1_3","RNA pol II transcription cofactor",NA,"","","PF02678;PF05726","IPR003829 Pirin, N-terminal domain;IPR008778 Pirin, C-terminal domain;IPR011051 RmlC-like cupin domain superfamily;IPR012093 Pirin;IPR014710 RmlC-like jelly roll fold","ENOG503NW75","S:(S) Function unknown","",NA,NA,"","","",706630,707571,15,692000,710500,"list_cnv_cheese_diff","CCBN010000015.1"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,585000,585500,"list_cnv_geoc_other","CCBN010000016.1"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,585000,585500,"list_cnv_geob_cheese","CCBN010000016.1"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11500,12000,"list_cnv_cheese_diff","CCBN010000016.1"
"16","gene-BN980_GECA16s01825g","gene-BN980_GECA16s01825g-T1","mRNA","CCBN010000016.1",417125,417918,"+","","hypothetical protein, no similarity",NA,"","","","","","","",NA,NA,"","","",417125,417918,16,416500,417500,"list_cnv_cheese_diff","CCBN010000016.1"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,433000,433500,"list_cnv_cheese_diff","CCBN010000016.1"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,585000,585500,"list_cnv_cheese_diff","CCBN010000016.1"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,534500,535000,"list_cnv_geoc_other","CCBN010000018.1"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,534000,535000,"list_cnv_geob_cheese","CCBN010000018.1"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,534000,534500,"list_cnv_cheese_diff","CCBN010000018.1"
"18","gene-BN980_GECA18s02559r","gene-BN980_GECA18s02559r-T1","tRNA","CCBN010000018.1",535220,535301,"-","","tRNA-Ser",NA,"","","","","","","",NA,NA,"","","",535220,535301,18,535000,535500,"list_cnv_cheese_diff","CCBN010000018.1"
"20","gene-BN980_GECA20s00021g","gene-BN980_GECA20s00021g-T1","mRNA","CCBN010000020.1",7512,8687,"+","","Hypothetical protein, no similarity",NA,"","","","","","","",NA,NA,"","","",7512,8687,20,5000,8500,"list_cnv_geoc_other","CCBN010000020.1"
"20","gene-BN980_GECA20s00087g","gene-BN980_GECA20s00087g-T1","mRNA","CCBN010000020.1",14311,15246,"-","","hypothetical protein",NA,"","","PF01036","IPR001425 Archaeal/bacterial/fungal rhodopsins;IPR043476 Yro2-like,  7TM domain","ENOG503NYUU","S:(S) Function unknown","GO_component: GO:0016020 - membrane [Evidence IEA];GO_function: GO:0005216 - ion channel activity [Evidence IEA];GO_process: GO:0006811 - ion transport [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YBR054W YRO2 Protein of unknown function with similarity to archaeal rhodopsins",14311,15246,20,14000,15500,"list_cnv_geoc_other","CCBN010000020.1"
"20","gene-BN980_GECA20s00890g","gene-BN980_GECA20s00890g-T1","mRNA","CCBN010000020.1",159112,159828,"-","","Hypothetical protein, no similarity",NA,"","","","","","","",NA,NA,"","","",159112,159828,20,159000,160500,"list_cnv_geoc_other","CCBN010000020.1"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,231000,231500,"list_cnv_geoc_other","CCBN010000020.1"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5000,5500,"list_cnv_cheese_diff","CCBN010000020.1"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,156000,156500,"list_cnv_cheese_diff","CCBN010000020.1"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,226000,231000,"list_cnv_cheese_diff","CCBN010000020.1"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,253000,255000,"list_cnv_cheese_diff","CCBN010000020.1"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,284000,291000,"list_cnv_cheese_diff","CCBN010000020.1"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,141000,141500,"list_cnv_geoc_other","CCBN010000022.1"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,267000,269000,"list_cnv_geoc_other","CCBN010000022.1"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,270500,271000,"list_cnv_geoc_other","CCBN010000022.1"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,141000,141500,"list_cnv_geob_cheese","CCBN010000022.1"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,270500,271000,"list_cnv_geob_cheese","CCBN010000022.1"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,270500,271000,"list_cnv_cheese_diff","CCBN010000022.1"
"26","gene-BN980_GECA26s00439g","gene-BN980_GECA26s00439g-T1","mRNA","CCBN010000026.1",84245,85621,"+","MAP2_2","Methionine aminopeptidase 2",NA,"3.4.11.18","","PF00557","IPR000994 Peptidase M24;IPR001714 Peptidase M24, methionine aminopeptidase;IPR002468 Peptidase M24A, methionine aminopeptidase, subfamily 2;IPR018349 Peptidase M24A, methionine aminopeptidase, subfamily 2, binding site;IPR036005 Creatinase/aminopeptidase-like;IPR036388 Winged helix-like DNA-binding domain superfamily;IPR036390 Winged helix DNA-binding domain superfamily","ENOG503NUPF","J:(J) Translation, ribosomal structure and biogenesis","GO_function: GO:0070006 - metalloaminopeptidase activity [Evidence IEA];GO_process: GO:0006508 - proteolysis [Evidence IEA]",NA,NA,"M24A","","",84245,85621,26,85500,87500,"list_cnv_cheese_diff","CCBN010000026.1"
"27","gene-BN980_GECA27s00010g","gene-BN980_GECA27s00010g-T1","mRNA","CCBN010000027.1",76,1341,"-","","hypothetical protein",NA,"3.6.4.12","","PF00004;PF13245;PF13604","IPR003593 AAA+ ATPase domain;IPR003840 DNA helicase;IPR010285 DNA helicase Pif1-like;IPR027417 P-loop containing nucleoside triphosphate hydrolase","ENOG503X9HT","L:(L) Replication, recombination and repair","GO_function: GO:0004386 - helicase activity [Evidence IEA];GO_function: GO:0005524 - ATP binding [Evidence IEA];GO_function: GO:0003678 - DNA helicase activity [Evidence IEA];GO_process: GO:0006281 - DNA repair [Evidence IEA];GO_process: GO:0000723 - telomere maintenance [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YML061C PIF1 DNA helicase",76,1341,27,1000,1500,"list_cnv_geoc_other","CCBN010000027.1"
"27","gene-BN980_GECA27s00021g","gene-BN980_GECA27s00021g-T1","mRNA","CCBN010000027.1",2269,4002,"-","MDR1_3","GTPase-activating protein",NA,"","","PF07690","IPR011701 Major facilitator superfamily;IPR020846 Major facilitator superfamily domain;IPR036259 MFS transporter superfamily","ENOG503NUJK","S:(S) Function unknown","GO_function: GO:0022857 - transmembrane transporter activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA]",NA,NA,"","","",2269,4002,27,2000,3500,"list_cnv_geoc_other","CCBN010000027.1"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,12000,12500,"list_cnv_geoc_other","CCBN010000027.1"
"27","gene-BN980_GECA27s00010g","gene-BN980_GECA27s00010g-T1","mRNA","CCBN010000027.1",76,1341,"-","","hypothetical protein",NA,"3.6.4.12","","PF00004;PF13245;PF13604","IPR003593 AAA+ ATPase domain;IPR003840 DNA helicase;IPR010285 DNA helicase Pif1-like;IPR027417 P-loop containing nucleoside triphosphate hydrolase","ENOG503X9HT","L:(L) Replication, recombination and repair","GO_function: GO:0004386 - helicase activity [Evidence IEA];GO_function: GO:0005524 - ATP binding [Evidence IEA];GO_function: GO:0003678 - DNA helicase activity [Evidence IEA];GO_process: GO:0006281 - DNA repair [Evidence IEA];GO_process: GO:0000723 - telomere maintenance [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YML061C PIF1 DNA helicase",76,1341,27,1000,1500,"list_cnv_geob_cheese","CCBN010000027.1"
"27","gene-BN980_GECA27s00021g","gene-BN980_GECA27s00021g-T1","mRNA","CCBN010000027.1",2269,4002,"-","MDR1_3","GTPase-activating protein",NA,"","","PF07690","IPR011701 Major facilitator superfamily;IPR020846 Major facilitator superfamily domain;IPR036259 MFS transporter superfamily","ENOG503NUJK","S:(S) Function unknown","GO_function: GO:0022857 - transmembrane transporter activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA]",NA,NA,"","","",2269,4002,27,2000,3500,"list_cnv_geob_cheese","CCBN010000027.1"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,12000,12500,"list_cnv_geob_cheese","CCBN010000027.1"
