"scaffold_name","GeneID","TranscriptID","Feature","Contig","Start","Stop","Strand","Name","Product","Alias.Synonyms","EC_number","BUSCO","PFAM","InterPro","EggNog","COG","GO.Terms","Secreted","Membrane","Protease","CAZyme","Notes","begin","end","pos.mean","pos.begin","pos.end","pos.scaffold","window","variable","value","analysis","i.begin","i.end"
"CCBN010000001.1","gene-BN980_GECA01s07622g","gene-BN980_GECA01s07622g-T1","mRNA","CCBN010000001.1",1627298,1628701,"+","","hypothetical protein",NA,"","","PF01156","IPR001910 Inosine/uridine-preferring nucleoside hydrolase domain;IPR023186 Inosine/uridine-preferring nucleoside hydrolase;IPR036452 Ribonucleoside hydrolase-like","ENOG503NWEU","F:(F) Nucleotide transport and metabolism","",NA,NA,"","","similar to Saccharomyces cerevisiae YDR400W URH1 Uridine nucleosidase",1627298,1628701,1623.7505,1620.001,1627.5,1,325,"Cheese_3",3.23671497584541e-05,"pi",1620001,1627500
"CCBN010000001.1","gene-BN980_GECA01s07644g","gene-BN980_GECA01s07644g-T1","mRNA","CCBN010000001.1",1634869,1636743,"-","RIM21_1","pH-response regulator protein palH/rim21",NA,"","EOG09341UPP","PF08733","IPR014844 PalH/RIM21","ENOG503NYQ4","S:(S) Function unknown","",NA,NA,"","","",1634869,1636743,1638.7505,1635.001,1642.5,1,328,"Cheese_3",2.22222222222222e-05,"pi",1635001,1642500
"CCBN010000001.1","gene-BN980_GECA01s07655g","gene-BN980_GECA01s07655g-T1","mRNA","CCBN010000001.1",1637024,1640437,"-","SSD1_1","Translational repressor",NA,"","EOG0934075B","PF00773;PF17849;PF17877","IPR001900 Ribonuclease II/R;IPR012340 Nucleic acid-binding, OB-fold;IPR041093 DIS3-like exonuclease 2, C-terminal;IPR041505 Dis3-like cold-shock domain 2","ENOG503NWBH","J:(J) Translation, ribosomal structure and biogenesis","GO_function: GO:0004540 - ribonuclease activity [Evidence IEA];GO_function: GO:0003723 - RNA binding [Evidence IEA]",NA,NA,"","","",1637024,1640437,1638.7505,1635.001,1642.5,1,328,"Cheese_3",2.22222222222222e-05,"pi",1635001,1642500
"CCBN010000001.1","gene-BN980_GECA01s07677g","gene-BN980_GECA01s07677g-T1","mRNA","CCBN010000001.1",1641709,1643256,"-","","hypothetical protein",NA,"","","PF05224","IPR008967 p53-like transcription factor, DNA-binding;IPR024061 NDT80 DNA-binding domain;IPR037141 NDT80 DNA-binding domain superfamily","ENOG503NUVH","L:(L) Replication, recombination and repair","GO_function: GO:0003677 - DNA binding [Evidence IEA];GO_function: GO:0003700 - DNA-binding transcription factor activity [Evidence IEA];GO_process: GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]",NA,NA,"","","",1641709,1643256,1638.7505,1635.001,1642.5,1,328,"Cheese_3",2.22222222222222e-05,"pi",1635001,1642500
"CCBN010000001.1","gene-BN980_GECA01s07655g","gene-BN980_GECA01s07655g-T1","mRNA","CCBN010000001.1",1637024,1640437,"-","SSD1_1","Translational repressor",NA,"","EOG0934075B","PF00773;PF17849;PF17877","IPR001900 Ribonuclease II/R;IPR012340 Nucleic acid-binding, OB-fold;IPR041093 DIS3-like exonuclease 2, C-terminal;IPR041505 Dis3-like cold-shock domain 2","ENOG503NWBH","J:(J) Translation, ribosomal structure and biogenesis","GO_function: GO:0004540 - ribonuclease activity [Evidence IEA];GO_function: GO:0003723 - RNA binding [Evidence IEA]",NA,NA,"","","",1637024,1640437,1643.7505,1640.001,1647.5,1,329,"Cheese_3",3.33333333333333e-05,"pi",1640001,1647500
"CCBN010000001.1","gene-BN980_GECA01s07677g","gene-BN980_GECA01s07677g-T1","mRNA","CCBN010000001.1",1641709,1643256,"-","","hypothetical protein",NA,"","","PF05224","IPR008967 p53-like transcription factor, DNA-binding;IPR024061 NDT80 DNA-binding domain;IPR037141 NDT80 DNA-binding domain superfamily","ENOG503NUVH","L:(L) Replication, recombination and repair","GO_function: GO:0003677 - DNA binding [Evidence IEA];GO_function: GO:0003700 - DNA-binding transcription factor activity [Evidence IEA];GO_process: GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]",NA,NA,"","","",1641709,1643256,1643.7505,1640.001,1647.5,1,329,"Cheese_3",3.33333333333333e-05,"pi",1640001,1647500
"CCBN010000001.1","gene-BN980_GECA01s07699g","gene-BN980_GECA01s07699g-T1","mRNA","CCBN010000001.1",1645047,1645877,"+","","hypothetical protein, no similarity",NA,"","","","","","","",NA,NA,"","","",1645047,1645877,1643.7505,1640.001,1647.5,1,329,"Cheese_3",3.33333333333333e-05,"pi",1640001,1647500
"CCBN010000002.1","gene-BN980_GECA02s00807g","gene-BN980_GECA02s00807g-T1","mRNA","CCBN010000002.1",182836,183730,"+","CMD1_1","Calmodulin",NA,"","","PF00036;PF08726;PF10591;PF13202;PF13405;PF13499;PF13833","IPR002048 EF-hand domain;IPR011992 EF-hand domain pair;IPR018247 EF-Hand 1, calcium-binding site;IPR039030 Calmodulin","ENOG503NVWG","T:(T) Signal transduction mechanisms","GO_function: GO:0005509 - calcium ion binding [Evidence IEA];GO_process: GO:0019722 - calcium-mediated signaling [Evidence IEA]",NA,NA,"","","",182836,183730,183.7505,180.001,187.5,2,552,"Cheese_1",1.15942028985507e-05,"pi",180001,187500
"CCBN010000002.1","gene-BN980_GECA02s00824g","gene-BN980_GECA02s00824g-T1","mRNA","CCBN010000002.1",183986,186675,"-","","hypothetical protein",NA,"","","","","ENOG503P3PA","","",NA,NA,"","","",183986,186675,183.7505,180.001,187.5,2,552,"Cheese_1",1.15942028985507e-05,"pi",180001,187500
"CCBN010000002.1","gene-BN980_GECA02s02441g","gene-BN980_GECA02s02441g-T1","mRNA","CCBN010000002.1",554572,558369,"+","","hypothetical protein",NA,"","EOG09340PE5","PF00168","IPR000008 C2 domain;IPR014770 Munc13 homology 1;IPR014772 Mammalian uncoordinated homology 13, domain 2;IPR019558 Mammalian uncoordinated homology 13, subgroup, domain 2;IPR035892 C2 domain superfamily","ENOG503NX6B","S:(S) Function unknown","",NA,NA,"","","similar to Saccharomyces cerevisiae YOR296W Putative protein of unknown function",554572,558369,558.7505,555.001,562.5,2,627,"Cheese_1",0,"pi",555001,562500
"CCBN010000002.1","gene-BN980_GECA02s02452g","gene-BN980_GECA02s02452g-T1","mRNA","CCBN010000002.1",559883,560896,"-","","hypothetical protein",NA,"1.2.1.12","","PF00044;PF02800","IPR006424 Glyceraldehyde-3-phosphate dehydrogenase, type I;IPR020828 Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain;IPR020829 Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain;IPR020830 Glyceraldehyde 3-phosphate dehydrogenase, active site;IPR020831 Glyceraldehyde/Erythrose phosphate dehydrogenase family;IPR036291 NAD(P)-binding domain superfamily","ENOG503NUCI","G:(G) Carbohydrate transport and metabolism","GO_function: GO:0051287 - NAD binding [Evidence IEA];GO_function: GO:0050661 - NADP binding [Evidence IEA];GO_function: GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [Evidence IEA];GO_process: GO:0006006 - glucose metabolic process [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YGR192C TDH3 Glyceraldehyde-3-phosphate dehydrogenase",559883,560896,558.7505,555.001,562.5,2,627,"Cheese_1",0,"pi",555001,562500
"CCBN010000002.1","gene-BN980_GECA02s02452g","gene-BN980_GECA02s02452g-T1","mRNA","CCBN010000002.1",559883,560896,"-","","hypothetical protein",NA,"1.2.1.12","","PF00044;PF02800","IPR006424 Glyceraldehyde-3-phosphate dehydrogenase, type I;IPR020828 Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain;IPR020829 Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain;IPR020830 Glyceraldehyde 3-phosphate dehydrogenase, active site;IPR020831 Glyceraldehyde/Erythrose phosphate dehydrogenase family;IPR036291 NAD(P)-binding domain superfamily","ENOG503NUCI","G:(G) Carbohydrate transport and metabolism","GO_function: GO:0051287 - NAD binding [Evidence IEA];GO_function: GO:0050661 - NADP binding [Evidence IEA];GO_function: GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [Evidence IEA];GO_process: GO:0006006 - glucose metabolic process [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YGR192C TDH3 Glyceraldehyde-3-phosphate dehydrogenase",559883,560896,563.7505,560.001,567.5,2,628,"Cheese_1",0,"pi",560001,567500
"CCBN010000002.1","gene-BN980_GECA02s02463g","gene-BN980_GECA02s02463g-T1","mRNA","CCBN010000002.1",563109,564203,"-","","hypothetical protein",NA,"","EOG09342NCR","PF03690","IPR003226 Metal-dependent protein hydrolase","ENOG503NVK7","S:(S) Function unknown","",NA,NA,"","","similar to Saccharomyces cerevisiae YER156C Putative protein of unknown function",563109,564203,563.7505,560.001,567.5,2,628,"Cheese_1",0,"pi",560001,567500
"CCBN010000002.1","gene-BN980_GECA02s02474g","gene-BN980_GECA02s02474g-T1","mRNA","CCBN010000002.1",564571,564945,"+","","hypothetical protein",NA,"","","PF09803","IPR018625 Protein Pet100","ENOG503P59P","U:(U) Intracellular trafficking, secretion, and vesicular transport","GO_component: GO:0005739 - mitochondrion [Evidence IEA];GO_process: GO:0033617 - mitochondrial cytochrome c oxidase assembly [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YDR079W PET100 Chaperone that specifically facilitates the assembly of cytochrome c oxidase",564571,564945,563.7505,560.001,567.5,2,628,"Cheese_1",0,"pi",560001,567500
"CCBN010000002.1","gene-BN980_GECA02s02485g","gene-BN980_GECA02s02485g-T1","mRNA","CCBN010000002.1",565758,567032,"-","","Hypothetical protein, no similarity",NA,"","","","IPR026225 Daughter-specific expression protein 2","","","",NA,NA,"","","",565758,567032,563.7505,560.001,567.5,2,628,"Cheese_1",0,"pi",560001,567500
"CCBN010000002.1","gene-BN980_GECA02s03387g","gene-BN980_GECA02s03387g-T1","mRNA","CCBN010000002.1",753549,756629,"+","PPM2","tRNA methyltransferase ppm2",NA,"","","PF04072;PF13418;PF13621","IPR003347 JmjC domain;IPR007213 Methyltransferase Ppm1/Ppm2/Tcmp;IPR011043 Galactose oxidase/kelch, beta-propeller;IPR015915 Kelch-type beta propeller;IPR029063 S-adenosyl-L-methionine-dependent methyltransferase;IPR041667 Cupin-like domain 8","ENOG503NTVT","O:(O) Posttranslational modification, protein turnover, chaperones","GO_function: GO:0005515 - protein binding [Evidence IEA];GO_function: GO:0008168 - methyltransferase activity [Evidence IEA];GO_process: GO:0032259 - methylation [Evidence IEA]",NA,NA,"","","",753549,756629,753.7505,750.001,757.5,2,666,"Cheese_1",0,"pi",750001,757500
"CCBN010000002.1","gene-BN980_GECA02s03398g","gene-BN980_GECA02s03398g-T1","mRNA","CCBN010000002.1",756742,761273,"-","RAV1","regulator of (H+)-ATPase in vacuolar membrane",NA,"","EOG093407QV","PF12234","IPR001680 WD40 repeat;IPR011047 Quinoprotein alcohol dehydrogenase-like superfamily;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR022033 RAVE complex protein Rav1 C-terminal;IPR036322 WD40-repeat-containing domain superfamily","ENOG503NXZY","S:(S) Function unknown","GO_function: GO:0005515 - protein binding [Evidence IEA]",NA,NA,"","","",756742,761273,753.7505,750.001,757.5,2,666,"Cheese_1",0,"pi",750001,757500
"CCBN010000002.1","gene-BN980_GECA02s03387g","gene-BN980_GECA02s03387g-T1","mRNA","CCBN010000002.1",753549,756629,"+","PPM2","tRNA methyltransferase ppm2",NA,"","","PF04072;PF13418;PF13621","IPR003347 JmjC domain;IPR007213 Methyltransferase Ppm1/Ppm2/Tcmp;IPR011043 Galactose oxidase/kelch, beta-propeller;IPR015915 Kelch-type beta propeller;IPR029063 S-adenosyl-L-methionine-dependent methyltransferase;IPR041667 Cupin-like domain 8","ENOG503NTVT","O:(O) Posttranslational modification, protein turnover, chaperones","GO_function: GO:0005515 - protein binding [Evidence IEA];GO_function: GO:0008168 - methyltransferase activity [Evidence IEA];GO_process: GO:0032259 - methylation [Evidence IEA]",NA,NA,"","","",753549,756629,758.7505,755.001,762.5,2,667,"Cheese_1",0,"pi",755001,762500
"CCBN010000002.1","gene-BN980_GECA02s03398g","gene-BN980_GECA02s03398g-T1","mRNA","CCBN010000002.1",756742,761273,"-","RAV1","regulator of (H+)-ATPase in vacuolar membrane",NA,"","EOG093407QV","PF12234","IPR001680 WD40 repeat;IPR011047 Quinoprotein alcohol dehydrogenase-like superfamily;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR022033 RAVE complex protein Rav1 C-terminal;IPR036322 WD40-repeat-containing domain superfamily","ENOG503NXZY","S:(S) Function unknown","GO_function: GO:0005515 - protein binding [Evidence IEA]",NA,NA,"","","",756742,761273,758.7505,755.001,762.5,2,667,"Cheese_1",0,"pi",755001,762500
"CCBN010000002.1","gene-BN980_GECA02s03409g","gene-BN980_GECA02s03409g-T1","mRNA","CCBN010000002.1",761541,762056,"+","","hypothetical protein",NA,"","","PF10203","IPR018793 Cytochrome c oxidase assembly protein PET191","ENOG503P5KG","O:(O) Posttranslational modification, protein turnover, chaperones","",NA,NA,"","","similar to Saccharomyces cerevisiae YJR034W PET191 Protein required for assembly of cytochrome c oxidase",761541,762056,758.7505,755.001,762.5,2,667,"Cheese_1",0,"pi",755001,762500
"CCBN010000002.1","gene-BN980_GECA02s03420g","gene-BN980_GECA02s03420g-T1","mRNA","CCBN010000002.1",762319,765952,"+","rhp26","DNA repair protein rhp26",NA,"","EOG09340DNI","PF00176;PF00271","IPR000330 SNF2, N-terminal;IPR001650 Helicase, C-terminal;IPR014001 Helicase superfamily 1/2, ATP-binding domain;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR038718 SNF2-like, N-terminal domain superfamily","ENOG503NU5F","A:(A) RNA processing and modification","GO_function: GO:0070615 - nucleosome-dependent ATPase activity [Evidence IEA];GO_function: GO:0005524 - ATP binding [Evidence IEA]",NA,NA,"","","",762319,765952,758.7505,755.001,762.5,2,667,"Cheese_1",0,"pi",755001,762500
"CCBN010000002.1","gene-BN980_GECA02s03464g","gene-BN980_GECA02s03464g-T1","mRNA","CCBN010000002.1",774610,776805,"+","SAS3","Histone acetyltransferase",NA,"2.3.1.48","","PF01853;PF17772","IPR002717 Histone acetyltransferase domain, MYST-type;IPR016181 Acyl-CoA N-acyltransferase;IPR036388 Winged helix-like DNA-binding domain superfamily;IPR040706 MYST, zinc finger domain","ENOG503NU4H","B:(B) Chromatin structure and dynamics","GO_function: GO:0004402 - histone acetyltransferase activity [Evidence IEA];GO_process: GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA];GO_process: GO:0016573 - histone acetylation [Evidence IEA]",NA,NA,"","","",774610,776805,778.7505,775.001,782.5,2,671,"Cheese_1",1.15942028985507e-05,"pi",775001,782500
"CCBN010000002.1","gene-BN980_GECA02s03475g","gene-BN980_GECA02s03475g-T1","mRNA","CCBN010000002.1",777457,779324,"-","ATP2_1","atp2, beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase",NA,"","","PF00006;PF02874","IPR000194 ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain;IPR003593 AAA+ ATPase domain;IPR004100 ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain;IPR005722 ATP synthase, F1 complex, beta subunit;IPR020003 ATPase, alpha/beta subunit, nucleotide-binding domain, active site;IPR024034 ATPase, F1/V1 complex, beta/alpha subunit, C-terminal;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR036121 ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain superfamily","ENOG503NVU5","C:(C) Energy production and conversion","GO_component: GO:0045261 - proton-transporting ATP synthase complex, catalytic core F(1) [Evidence IEA];GO_function: GO:0046933 - proton-transporting ATP synthase activity, rotational mechanism [Evidence IEA];GO_function: GO:0005524 - ATP binding [Evidence IEA];GO_process: GO:1902600 - proton transmembrane transport [Evidence IEA];GO_process: GO:0046034 - ATP metabolic process [Evidence IEA];GO_process: GO:0015986 - ATP synthesis coupled proton transport [Evidence IEA]",NA,NA,"","","",777457,779324,778.7505,775.001,782.5,2,671,"Cheese_1",1.15942028985507e-05,"pi",775001,782500
"CCBN010000002.1","gene-BN980_GECA02s03486g","gene-BN980_GECA02s03486g-T1","mRNA","CCBN010000002.1",780538,783102,"+","","hypothetical protein",NA,"","","PF00565;PF00567","IPR002999 Tudor domain;IPR016071 Staphylococcal nuclease (SNase-like), OB-fold;IPR016685 RNA-induced silencing complex, nuclease component Tudor-SN;IPR035437 SNase-like, OB-fold superfamily","ENOG503NVE3","K:(K) Transcription","GO_component: GO:0016442 - RISC complex [Evidence IEA];GO_process: GO:0031047 - gene silencing by RNA [Evidence IEA]",NA,NA,"","","",780538,783102,778.7505,775.001,782.5,2,671,"Cheese_1",1.15942028985507e-05,"pi",775001,782500
"CCBN010000002.1","gene-BN980_GECA02s03596g","gene-BN980_GECA02s03596g-T1","mRNA","CCBN010000002.1",806478,808250,"+","","hypothetical protein",NA,"","","PF00860","IPR006042 Xanthine/uracil permease;IPR006043 Nucleobase cation symporter 2 family","ENOG503NWNX","F:(F) Nucleotide transport and metabolism","GO_component: GO:0016020 - membrane [Evidence IEA];GO_function: GO:0022857 - transmembrane transporter activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA]",NA,NA,"","","",806478,808250,803.7505,800.001,807.5,2,676,"Cheese_1",0,"pi",800001,807500
"CCBN010000002.1","gene-BN980_GECA02s04377g","gene-BN980_GECA02s04377g-T1","mRNA","CCBN010000002.1",944813,945250,"-","","hypothetical protein",NA,"","","PF17050","IPR031463 MICOS complex subunit Mic12","ENOG503P7QY","S:(S) Function unknown","GO_component: GO:0044284 - mitochondrial crista junction [Evidence IEA];GO_component: GO:0061617 - MICOS complex [Evidence IEA];GO_process: GO:0042407 - cristae formation [Evidence IEA]",NA,NA,"","","",944813,945250,948.7505,945.001,952.5,2,705,"Cheese_1",1.15942028985507e-05,"pi",945001,952500
"CCBN010000002.1","gene-BN980_GECA02s04388g","gene-BN980_GECA02s04388g-T1","mRNA","CCBN010000002.1",945536,946244,"+","mrpl8","54S ribosomal protein L8, mitochondrial",NA,"","EOG09343W8V","PF01196","IPR000456 Ribosomal protein L17;IPR036373 Ribosomal protein L17 superfamily","ENOG503P1YY","J:(J) Translation, ribosomal structure and biogenesis","GO_component: GO:0005840 - ribosome [Evidence IEA];GO_function: GO:0003735 - structural constituent of ribosome [Evidence IEA];GO_process: GO:0006412 - translation [Evidence IEA]",NA,NA,"","","",945536,946244,948.7505,945.001,952.5,2,705,"Cheese_1",1.15942028985507e-05,"pi",945001,952500
"CCBN010000002.1","gene-BN980_GECA02s04399g","gene-BN980_GECA02s04399g-T1","mRNA","CCBN010000002.1",946588,947937,"-","INT6","eukaryotic translation initiation factor 3 subunit E",NA,"","","PF01399;PF09440","IPR000717 Proteasome component (PCI) domain;IPR016650 Eukaryotic translation initiation factor 3 subunit E;IPR019010 Eukaryotic translation initiation factor 3 subunit E, N-terminal;IPR036390 Winged helix DNA-binding domain superfamily","ENOG503NWSQ","J:(J) Translation, ribosomal structure and biogenesis","GO_component: GO:0005737 - cytoplasm [Evidence IEA];GO_component: GO:0005852 - eukaryotic translation initiation factor 3 complex [Evidence IEA];GO_function: GO:0003743 - translation initiation factor activity [Evidence IEA]",NA,NA,"","","",946588,947937,948.7505,945.001,952.5,2,705,"Cheese_1",1.15942028985507e-05,"pi",945001,952500
"CCBN010000002.1","gene-BN980_GECA02s04410g","gene-BN980_GECA02s04410g-T1","mRNA","CCBN010000002.1",948206,950035,"-","","hypothetical protein",NA,"","","PF09507","IPR019038 DNA polymerase delta subunit 3","ENOG503Q3KF","S:(S) Function unknown","GO_component: GO:0005634 - nucleus [Evidence IEA];GO_component: GO:0043625 - delta DNA polymerase complex [Evidence IEA];GO_process: GO:0006260 - DNA replication [Evidence IEA]",NA,NA,"","","",948206,950035,948.7505,945.001,952.5,2,705,"Cheese_1",1.15942028985507e-05,"pi",945001,952500
"CCBN010000002.1","gene-BN980_GECA02s04432g","gene-BN980_GECA02s04432g-T1","mRNA","CCBN010000002.1",950641,951044,"-","","hypothetical protein",NA,"","","","IPR012882 Putative redox protein Fmp46;IPR036249 Thioredoxin-like superfamily","ENOG503P47E","S:(S) Function unknown","GO_component: GO:0005739 - mitochondrion [Evidence IEA];GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA]",NA,NA,"","","",950641,951044,948.7505,945.001,952.5,2,705,"Cheese_1",1.15942028985507e-05,"pi",945001,952500
"CCBN010000002.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1028.7505,1025.001,1032.5,2,721,"Cheese_1",0,"pi",1025001,1032500
"CCBN010000002.1","gene-BN980_GECA02s08744g","gene-BN980_GECA02s08744g-T1","mRNA","CCBN010000002.1",1944397,1953213,"+","FMP27_1","Protein SABRE",NA,"","","PF10293;PF10305;PF10344;PF10347;PF10351;PF10359","IPR019409 FMP27, domain of unknown function DUF2405;IPR019415 FMP27, SW domain;IPR019439 FMP27, N-terminal;IPR019441 FMP27, GFWDK domain;IPR019443 FMP27,  C-terminal;IPR019449 FMP27, WPPW  domain","ENOG503NUKM","S:(S) Function unknown","",NA,NA,"","","",1944397,1953213,1948.7505,1945.001,1952.5,2,905,"Cheese_1",0,"pi",1945001,1952500
"CCBN010000002.1","gene-BN980_GECA02s08799g","gene-BN980_GECA02s08799g-T1","mRNA","CCBN010000002.1",1973516,1975387,"+","","hypothetical protein",NA,"","EOG09340RMG","PF00400;PF00646;PF12937","IPR001680 WD40 repeat;IPR001810 F-box domain;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR019775 WD40 repeat, conserved site;IPR020472 G-protein beta WD-40 repeat;IPR036047 F-box-like domain superfamily;IPR036322 WD40-repeat-containing domain superfamily","ENOG503NUDS","S:(S) Function unknown","GO_function: GO:0005515 - protein binding [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YIL046W MET30 F-box protein containing five copies of the WD40 motif",1973516,1975387,1973.7505,1970.001,1977.5,2,910,"Cheese_1",1.15942028985507e-05,"pi",1970001,1977500
"CCBN010000002.1","gene-BN980_GECA02s08799g","gene-BN980_GECA02s08799g-T1","mRNA","CCBN010000002.1",1973516,1975387,"+","","hypothetical protein",NA,"","EOG09340RMG","PF00400;PF00646;PF12937","IPR001680 WD40 repeat;IPR001810 F-box domain;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR019775 WD40 repeat, conserved site;IPR020472 G-protein beta WD-40 repeat;IPR036047 F-box-like domain superfamily;IPR036322 WD40-repeat-containing domain superfamily","ENOG503NUDS","S:(S) Function unknown","GO_function: GO:0005515 - protein binding [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YIL046W MET30 F-box protein containing five copies of the WD40 motif",1973516,1975387,1978.7505,1975.001,1982.5,2,911,"Cheese_1",0,"pi",1975001,1982500
"CCBN010000002.1","gene-BN980_GECA02s08821g","gene-BN980_GECA02s08821g-T1","mRNA","CCBN010000002.1",1978579,1979046,"-","","hypothetical protein",NA,"","","PF09811","IPR019191 Essential protein Yae1, N-terminal","ENOG503P47R","S:(S) Function unknown","",NA,NA,"","","similar to Saccharomyces cerevisiae YNL260C LTO1 Essential protein that forms a complex with Rli1p and Yae1p",1978579,1979046,1978.7505,1975.001,1982.5,2,911,"Cheese_1",0,"pi",1975001,1982500
"CCBN010000002.1","gene-BN980_GECA02s08832g","gene-BN980_GECA02s08832g-T1","mRNA","CCBN010000002.1",1979226,1980449,"+","","hypothetical protein",NA,"","","PF02213","IPR003169 GYF domain;IPR035445 GYF-like domain superfamily;IPR039905 CD2 antigen cytoplasmic tail-binding protein 2/Lin1","ENOG503NUV1","S:(S) Function unknown","GO_component: GO:0005682 - U5 snRNP [Evidence IEA];GO_function: GO:0005515 - protein binding [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YHR156C LIN1 Non-essential component of U5 snRNP",1979226,1980449,1978.7505,1975.001,1982.5,2,911,"Cheese_1",0,"pi",1975001,1982500
"CCBN010000002.1","gene-BN980_GECA02s08843g","gene-BN980_GECA02s08843g-T1","mRNA","CCBN010000002.1",1980718,1982982,"+","","hypothetical protein",NA,"","","PF10257","IPR019384 FHF complex subunit HOOK interacting protein","ENOG503NVSA","K:(K) Transcription","",NA,NA,"","","",1980718,1982982,1978.7505,1975.001,1982.5,2,911,"Cheese_1",0,"pi",1975001,1982500
"CCBN010000002.1","gene-BN980_GECA02s08832g","gene-BN980_GECA02s08832g-T1","mRNA","CCBN010000002.1",1979226,1980449,"+","","hypothetical protein",NA,"","","PF02213","IPR003169 GYF domain;IPR035445 GYF-like domain superfamily;IPR039905 CD2 antigen cytoplasmic tail-binding protein 2/Lin1","ENOG503NUV1","S:(S) Function unknown","GO_component: GO:0005682 - U5 snRNP [Evidence IEA];GO_function: GO:0005515 - protein binding [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YHR156C LIN1 Non-essential component of U5 snRNP",1979226,1980449,1983.7505,1980.001,1987.5,2,912,"Cheese_1",0,"pi",1980001,1987500
"CCBN010000002.1","gene-BN980_GECA02s08843g","gene-BN980_GECA02s08843g-T1","mRNA","CCBN010000002.1",1980718,1982982,"+","","hypothetical protein",NA,"","","PF10257","IPR019384 FHF complex subunit HOOK interacting protein","ENOG503NVSA","K:(K) Transcription","",NA,NA,"","","",1980718,1982982,1983.7505,1980.001,1987.5,2,912,"Cheese_1",0,"pi",1980001,1987500
"CCBN010000002.1","gene-BN980_GECA02s08898g","gene-BN980_GECA02s08898g-T1","mRNA","CCBN010000002.1",2003237,2004232,"-","","hypothetical protein",NA,"","","PF00096","IPR013087 Zinc finger C2H2-type;IPR036236 Zinc finger C2H2 superfamily","ENOG503P6RV","S:(S) Function unknown","",NA,NA,"","","similar to Saccharomyces cerevisiae YPR013C CMR3 Putative zinc finger protein",2003237,2004232,2003.7505,2000.001,2007.5,2,916,"Cheese_1",0,"pi",2000001,2007500
"CCBN010000002.1","gene-BN980_GECA02s08920g","gene-BN980_GECA02s08920g-T1","mRNA","CCBN010000002.1",2006175,2007020,"+","","hypothetical protein, no similarity",NA,"","","PF00583","IPR000182 GNAT domain;IPR016181 Acyl-CoA N-acyltransferase;IPR039949 N-alpha-acetyltransferase 40","","","GO_function: GO:0008080 - N-acetyltransferase activity [Evidence IEA];GO_function: GO:0043998 - H2A histone acetyltransferase activity [Evidence IEA];GO_function: GO:0010485 - H4 histone acetyltransferase activity [Evidence IEA]",NA,NA,"","","",2006175,2007020,2003.7505,2000.001,2007.5,2,916,"Cheese_1",0,"pi",2000001,2007500
"CCBN010000002.1","gene-BN980_GECA02s08920g","gene-BN980_GECA02s08920g-T1","mRNA","CCBN010000002.1",2006175,2007020,"+","","hypothetical protein, no similarity",NA,"","","PF00583","IPR000182 GNAT domain;IPR016181 Acyl-CoA N-acyltransferase;IPR039949 N-alpha-acetyltransferase 40","","","GO_function: GO:0008080 - N-acetyltransferase activity [Evidence IEA];GO_function: GO:0043998 - H2A histone acetyltransferase activity [Evidence IEA];GO_function: GO:0010485 - H4 histone acetyltransferase activity [Evidence IEA]",NA,NA,"","","",2006175,2007020,2008.7505,2005.001,2012.5,2,917,"Cheese_1",1.15942028985507e-05,"pi",2005001,2012500
